NO_ENTIDADE,CO_ENTIDADE,NO_BAIRRO,TOTAL_MATRICULAS,TOTAL_COMP_ALUNOS,COMP_POR_100_ALUNOS,INFRA_BASICA,AMBIENTES_EDUC,ACESSIBILIDADE,TECNOLOGIA,INDICE_GERAL_INFRA
PORTO SEGURO C M E I,41356292,CIC,136.0,19.0,13.970588235294118,1.0,0.3333333333333333,0.14285714285714285,0.8333333333333334,0.5773809523809523
NATALIE BARRAGA C A E E,41151399,CENTRO,0.0,28.0,0.0,1.0,0.5555555555555556,0.8571428571428571,0.6666666666666666,0.7698412698412698
CRISTA MONTE SIAO E EI EF,41133722,CAJURU,270.0,11.0,4.074074074074074,1.0,0.7777777777777778,0.2857142857142857,0.6666666666666666,0.6825396825396824
HUNIKA EEI EF,41387457,NOVO MUNDO,360.0,37.0,10.277777777777777,1.0,0.7777777777777778,0.42857142857142855,0.6666666666666666,0.7182539682539681
RAIO DE SOL ENS PRE ESCOLAR,41146247,MERCES,76.0,1.0,1.3157894736842104,1.0,0.3333333333333333,0.14285714285714285,0.5,0.494047619047619
CANDIDO PORTINARI C M E I DO CAIC,41355601,CIC,362.0,17.0,4.696132596685083,1.0,0.5555555555555556,0.0,0.6666666666666666,0.5555555555555556
COLEGIO NOSSA SENHORA DO SAGRADO CORACAO,41131711,PINHEIRINHO,1018.0,33.0,3.2416502946954813,1.0,0.8888888888888888,0.8571428571428571,0.8333333333333334,0.8948412698412699
ISABEL PIMENTEL C M E I JORN,41162641,TATUQUARA,142.0,22.0,15.492957746478872,1.0,0.3333333333333333,0.14285714285714285,0.8333333333333334,0.5773809523809523
MARIA A JOUVE E M PROFA CEIEI EF,41130839,ALTO BOQUEIRAO,802.0,70.0,8.728179551122196,1.0,0.8888888888888888,0.5714285714285714,0.6666666666666666,0.7817460317460317
VILA IPIRANGA C M E I,41355709,CAPAO RASO,196.0,16.0,8.16326530612245,1.0,0.3333333333333333,0.5714285714285714,0.8333333333333334,0.6845238095238095
RECANTO INFANTIL SC LTDA,41132335,ALTO DA RUA XV,390.0,0.0,0.0,1.0,0.5555555555555556,0.2857142857142857,0.6666666666666666,0.626984126984127
HARMONY BABY C E I,41165152,SANTA QUITERIA,90.0,2.0,2.2222222222222223,1.0,0.2222222222222222,0.2857142857142857,0.5,0.501984126984127
BATISTA SHALON EEI EF,41388771,XAXIM,556.0,25.0,4.496402877697841,1.0,0.5555555555555556,0.42857142857142855,0.6666666666666666,0.6626984126984127
ULYSSES S GUIMARAES E M CEIEI EF,41134176,ABRANCHES,1196.0,52.0,4.3478260869565215,1.0,0.8888888888888888,0.5714285714285714,1.0,0.8650793650793651
COLEGIO POSITIVO BOA VISTA - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,41129326,BOA VISTA,1748.0,80.0,4.576659038901601,1.0,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.6547619047619047
RIO BONITO E MEI EF,41384474,CAMPO DE SANTANA,1188.0,30.0,2.525252525252525,1.0,0.6666666666666666,0.2857142857142857,0.8333333333333334,0.6964285714285714
ELIAS JOSE C M E I ESCR,41373588,ALTO BOQUEIRAO,296.0,29.0,9.797297297297296,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5
CENTRO DE EDUCACAO INFANTIL PATYLIS LTDA,41352971,FANNY,34.0,0.0,0.0,1.0,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.4880952380952381
FOZ DO IGUACU E MEI EF,41129431,SANTA FELICIDADE,817.0,51.0,6.24235006119951,1.0,0.7777777777777778,0.14285714285714285,0.6666666666666666,0.6468253968253967
SANTOS ANDRADE C M E I,41356489,CAMPO COMPRIDO,202.0,21.0,10.396039603960396,1.0,0.3333333333333333,0.14285714285714285,0.8333333333333334,0.5773809523809523
NILSON BAPTISTA RIBAS C E EF M,41131525,JD LOS ANGELES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTRO EDUCACIONAL DEMOCRATA,41156552,CENTRO,9.0,88888.0,987644.4444444445,1.0,0.4444444444444444,0.8571428571428571,1.0,0.8253968253968254
CONJUNTO ARAGUAIA C M E I,41355784,CAPAO DA IMBUIA,220.0,15.0,6.8181818181818175,1.0,0.3333333333333333,0.0,0.8333333333333334,0.5416666666666666
LUAN MULLER E EF MOD ED ESP,41370651,SEMINARIO,180.0,6.0,3.3333333333333335,1.0,0.2222222222222222,0.2857142857142857,0.6666666666666666,0.5436507936507936
JULIO MESQUITA C E CM PROFEF M PROFIS,41130359,JD DAS AMERICAS,1937.0,127.0,6.556530717604543,1.0,0.5555555555555556,0.2857142857142857,1.0,0.7103174603174603
NOSSA SENHORA DE NAZARE E - EI EF,41150015,BOA VISTA,176.0,3.0,1.7045454545454544,1.0,0.8888888888888888,0.42857142857142855,0.8333333333333334,0.7876984126984127
ACACIAS C E I,41356683,XAXIM,366.0,6.0,1.639344262295082,1.0,0.2222222222222222,0.14285714285714285,0.5,0.4662698412698413
PRIMAVERA EEF MOD ED ESP,41132645,TARUMA,230.0,52.0,22.608695652173914,1.0,0.3333333333333333,0.7142857142857143,0.8333333333333334,0.7202380952380952
COLEGIO INTERNACIONAL DE CURITIBA - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,41129890,SANTA FELICIDADE,1422.0,360.0,25.31645569620253,1.0,1.0,0.2857142857142857,1.0,0.8214285714285714
NILZA TARTUCE E EI EF MOD ED ESP,41133943,CENTRO CIVICO,306.0,38.0,12.418300653594772,1.0,0.4444444444444444,0.2857142857142857,0.8333333333333334,0.6408730158730159
ITALO CONTI C M E I GEN,41157001,CAJURU,254.0,12.0,4.724409448818897,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5
MARIA CLARA B TESSEROLLI E M EI EF,41130863,NOVO MUNDO,1120.0,51.0,4.553571428571428,1.0,0.8888888888888888,0.2857142857142857,0.6666666666666666,0.7103174603174602
CENTRO DE EDUCACAO PROFISSIONAL MICROCAPITAL,41164571,CENTRO,60.0,88888.0,148146.66666666666,1.0,0.4444444444444444,0.14285714285714285,0.8333333333333334,0.6051587301587301
HERLEY MEHL E M PROFEI EF,41129784,PILARZINHO,1254.0,56.0,4.4657097288676235,1.0,1.0,0.42857142857142855,1.0,0.8571428571428571
TIRADENTES C M E I,41353765,ALTO BOQUEIRAO,152.0,4.0,2.631578947368421,1.0,0.3333333333333333,0.0,0.8333333333333334,0.5416666666666666
COLEGIO ENSITEC - ENSINO FUNDAMENTAL MEDIO E PROFISSIONAL,41376846,PORTAO,664.0,70.0,10.542168674698797,1.0,1.0,0.8571428571428571,1.0,0.9642857142857143
GUILHERME BUTLER E M PROFEI EF,41129695,BOQUEIRAO,673.0,46.0,6.8350668647845465,1.0,0.7777777777777778,0.2857142857142857,0.8333333333333334,0.7242063492063492
CORUJINHA CENTRO DE EDUCACAO INFANTIL LTDA,41380517,JARDIM SOCIAL,72.0,1.0,1.3888888888888888,1.0,0.4444444444444444,0.2857142857142857,0.6666666666666666,0.5992063492063492
REGINA NARDINO PEREIRA C M A E E PROFA,41158342,SITIO CERCADO,0.0,35.0,0.0,1.0,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.6428571428571428
PEDRO APOSTOLO ESCOLA ED INF E ENS FUND,41148169,CAPAO RASO,590.0,38.0,6.440677966101695,1.0,0.8888888888888888,0.2857142857142857,0.8333333333333334,0.751984126984127
SAO JOAO DEL REY C M E I,41356772,SITIO CERCADO,258.0,21.0,8.13953488372093,1.0,0.3333333333333333,0.0,0.8333333333333334,0.5416666666666666
DIVERSAO DE CRIANCA CEI,41166930,SITIO CERCADO,34.0,1.0,2.941176470588235,1.0,0.2222222222222222,0.0,0.5,0.4305555555555556
CAMINHOS DO SABER E EI EF,41147197,AHU,158.0,7.0,4.430379746835443,1.0,0.7777777777777778,0.2857142857142857,0.8333333333333334,0.7242063492063492
MARIA CAZETTA C E I,41373561,UBERABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
