NO_ENTIDADE,CO_ENTIDADE,NO_BAIRRO,TOTAL_MATRICULAS,TOTAL_COMP_ALUNOS,COMP_POR_100_ALUNOS,INFRA_BASICA,AMBIENTES_EDUC,ACESSIBILIDADE,TECNOLOGIA,INDICE_GERAL_INFRA
ISSA NACLI E M CEIEI EF,41129946,UBERABA,1180.0,71.0,6.016949152542373,1.0,0.5555555555555556,0.2857142857142857,0.6666666666666666,0.626984126984127
UNIVERSO VERDE C E I,41134257,VL HAUER,106.0,5.0,4.716981132075472,1.0,0.3333333333333333,0.2857142857142857,0.5,0.5297619047619048
PARLENDA C E I,41156323,SANTO INACIO,390.0,22.0,5.641025641025641,1.0,0.6666666666666666,0.42857142857142855,0.8333333333333334,0.7321428571428571
CENTRO DE EDUCACAO INFANTIL BIDUZINHO CONCEPT,41153979,CABRAL,78.0,1.0,1.282051282051282,1.0,0.5555555555555556,0.14285714285714285,0.5,0.5496031746031746
CIRANDA DO BEBE C E I,41164237,CAJURU,70.0,2.0,2.857142857142857,1.0,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.4603174603174603
COLEGIO SESI BOQUEIRAO EDUCACAO INFANTIL E ENSINO MEDIO,41133480,BOQUEIRAO,2628.0,36.0,1.36986301369863,1.0,0.8888888888888888,0.8571428571428571,1.0,0.9365079365079365
SEMINARIO E M EDUC INT,41166116,SEMINARIO,368.0,42.0,11.41304347826087,1.0,0.7777777777777778,1.0,0.6666666666666666,0.861111111111111
PRIETO MARTINEZ C E EF M,41132637,BOM RETIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VINHEDOS E M DOSEI EF,41134290,SANTA FELICIDADE,1337.0,56.0,4.18848167539267,1.0,0.7777777777777778,0.14285714285714285,0.8333333333333334,0.6884920634920635
CENTRO DE EDUCACAO INFANTIL CRIANCA E CIA,41614925,JUVEVE,94.0,1.0,1.0638297872340425,1.0,0.4444444444444444,0.2857142857142857,0.5,0.5575396825396826
CENTRO DE EDUCACAO PROFISSIONAL FAFILTEC EDUCACIONAL LTDA,41387635,REBOUCAS,54.0,3.0,5.555555555555555,1.0,0.5555555555555556,0.5714285714285714,0.8333333333333334,0.7400793650793651
BENEDICTO J CORDEIRO C EEF M N PROFIS,41127650,SITIO CERCADO,4043.0,172.0,4.254266633687855,1.0,0.7777777777777778,0.2857142857142857,0.6666666666666666,0.6825396825396824
VICENTINO SAO VICENTE DE PAULO C E I,41376706,CAJURU,230.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5
UEPT 46 - UNIDADE DE EDUCACAO PRO E TECNOLOGICA DE CURITIBA PORTAO- SENAC,41156218,PORTAO,3314.0,266.0,8.026554013277007,1.0,0.4444444444444444,0.7142857142857143,0.8333333333333334,0.748015873015873
CENTRO DE EDUCACAO INFANTIL DOM BOSCO AHU,41376986,AHU,174.0,31.0,17.81609195402299,1.0,0.6666666666666666,0.2857142857142857,1.0,0.738095238095238
JULIO RAPHAEL GOMEL C M E I,41158350,TATUQUARA,382.0,18.0,4.712041884816754,1.0,0.3333333333333333,0.0,0.8333333333333334,0.5416666666666666
CENTRO EDUC PROFIS MACHADO DE ASSIS - FAMA,41150430,BACACHERI,1170.0,9.0,0.7692307692307693,1.0,0.5555555555555556,0.8571428571428571,0.8333333333333334,0.8115079365079365
GUILHERME PEREIRA NETO C EEF M PROFIS,41129717,CAMPO DE SANTANA,1491.0,73.0,4.896042924211938,1.0,0.6666666666666666,0.2857142857142857,1.0,0.738095238095238
FENIX E EF MOD ED ESP,41373758,PORTAO,90.0,12.0,13.333333333333334,1.0,0.5555555555555556,0.42857142857142855,0.8333333333333334,0.7043650793650794
CENTRO VOC LEG DE CRISTO EEF,41128273,BUTIATUVINHA,32.0,15.0,46.875,1.0,0.7777777777777778,0.2857142857142857,0.8333333333333334,0.7242063492063492
INTEGRACAO C E I,41162188,CIC,174.0,3.0,1.7241379310344827,1.0,0.4444444444444444,0.2857142857142857,0.6666666666666666,0.5992063492063492
CECI ENSINO PRE -ESCOLAR LTDA,41128150,VILA IZABEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESCOLA DE EDUCACAO INFANTIL SEMEADOR DO SABER,41616936,HUGO LANGE,208.0,0.0,0.0,0.75,0.5555555555555556,0.0,0.5,0.4513888888888889
SOLITUDE C M E I,41353935,CAJURU,214.0,13.0,6.074766355140187,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5
CENTRO EST EDUC PROFIS DE CURITIBA,41129857,BOQUEIRAO,4959.0,190.0,3.8314176245210727,1.0,0.8888888888888888,0.8571428571428571,0.8333333333333334,0.8948412698412699
COLEGIO BOM JESUS NOSSA SENHORA DE LOURDES ED INF ENS FUND E MEDIO,41131673,CRISTO REI,4694.0,343.0,7.307200681721346,1.0,1.0,0.8571428571428571,0.8333333333333334,0.9226190476190477
NANSYR CECATO CAVICHIOLO E M PROFAEIEF,41151321,PAROLIN,850.0,56.0,6.588235294117648,1.0,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.6904761904761904
